Location,Latitude,Longitude,Paleolatitude,Paleolongitude,Age,SampleType,Method,Temp_C,SE+,SE-,Reference,Marine/Terrestrial,TimePeriod,Stage
"ODP 1172, Tasman sea",-44,149.9,-64,162,Lower Ypresian,GDGTs,TEX86,29,0.6,0.6,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"U1356A, Indian ocean",-63.2,135.6,-63.6,132.1,Lower Eocene,GDGTs,TEX86,34.5,5,3.7,"Bijl et al., 2013; Naafs et al., 2018",Marine,Late Paleocene-Early Eocene,Early Eocene
"DSDP 277, Pacific ocean",-52.2,166.2,-61.8,-170.4,Lower Eocene,mixed-layer foraminifera,Mg/Ca,27.8,4,4,Evans et al. 2018 calculated from data in Hines et al. 2017,Marine,Late Paleocene-Early Eocene,Early Eocene
"Hampden Beach, New Zealand",-45.3,170.5,-55.4,-163.1,Lower Eocene,GDGTs,TEX86,33.4,4.8,3.7,"Inglis et al,. 2015; Naafs et al., 2018",Marine,Late Paleocene-Early Eocene,Early Eocene
"Hampden Beach, New Zealand",-45.3,170.5,-55.4,-163.1,Lower Eocene,mixed-layer foraminifera,Mg/Ca,25.2,4,4,Evans et al. 2018 calculated from data in Hines et al. 2017,Marine,Late Paleocene-Early Eocene,Early Eocene
"Tora, New Zealand",-41.4,175.6,-53.2,-170.2,Lower Eocene,mixed-layer foraminifera,Mg/Ca,26.2,4,4,Evans et al. 2018 calculated from data in Hines et al. 2017,Marine,Late Paleocene-Early Eocene,Early Eocene
"Waipara River, New Zealand",-43.2,172.8,-53,-160,Lower Ypresian,Planktic foraminifera,Mg/Ca,25.5,1.1,1.1,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"Waipara River, New Zealand",-43.2,172.8,-53,-160,Lower Ypresian,GDGTs,TEX86,31.5,0.6,0.6,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"Tawanui, New Zealand",-40.2,176.6,-51.7,-170.3,Lower Eocene,mixed-layer foraminifera,Mg/Ca,24.9,4,4,Evans et al. 2018 calculated from data in Hines et al. 2017,Marine,Late Paleocene-Early Eocene,Early Eocene
"DSDP 527, South Atlantic ocean",-28,1.8,-35,-10,Lower Ypresian,Planktic foraminifera,Mg/Ca,27,1.1,1.1,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
Tanzania (TDP),-7.8,39.1,-18,31,Lower Ypresian,GDGTs,TEX86,33,0.6,0.6,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
Tanzania (TDP),-7.8,39.1,-18,31,Lower Ypresian,Planktic foraminifera,?18O,29,0.7,0.7,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"Kutch, India",23.5,68.6,-4.3,59.1,Lower Eocene,mixed-layer foraminifera,Clumped isotope thermometry,32.9,4.4,4.3,Evans et al. 2018,Marine,Late Paleocene-Early Eocene,Early Eocene
"Sagamu Quarry, Nigeria",/,/,-0.7,-1.9,Lower Eocene,mixed-layer foraminifera,Mg/Ca,30.3,4,4,Evans et al. 2018 calculated from data in Frieling et al. 2017,Marine,Late Paleocene-Early Eocene,Early Eocene
"ODP Site 929, North Atlantic ocean",5.6,-43.4,2.6,-31.6,Lower Eocene,GDGTs,TEX86,35,5.1,3.7,"Liu et al,. 2009; Inglis et al., 2015; Naafs et al., 2018",Marine,Late Paleocene-Early Eocene,Early Eocene
"ODP Site 865, Pacific",18.4,-179.6,8,-151,Lower Ypresian,Planktic foraminifera,Mg/Ca,29.5,1.1,1.1,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"ODP Site1211, Shatsky Rise, Pacific",33,159,24,-171,Lower Ypresian,Planktic foraminifera,Mg/Ca,27,1.1,1.1,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"ODP Site1212, Shatsky Rise, Pacific",33,159,24,-171,Lower Ypresian,GDGTs,TEX86,32,0.6,0.6,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"Hatchetigbee, USA",32,-88,34,-72,Lower Ypresian,Planktic foraminifera,Clumped isotope thermometry,26,0.7,0.7,"Keating-Bitonti et al., 2011; Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"South Dover Bridge, USA",38.4,-76,38.8,-58.6,Lower Eocene,GDGTs,TEX86,33.9,4.9,3.7,"Inglis et al., 2015; Naafs et al., 2018",Marine,Late Paleocene-Early Eocene,Early Eocene
"Bass River, USA",39.6,-74.4,40,-57,Lower Ypresian,GDGTs,TEX86,30,0.6,0.6,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"Bass River, USA",39.6,-74.4,40,-57,Lower Ypresian,Planktic foraminifera,?18O,24,0.7,0.7,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"DSDP 401, North Atlantic ocean",47.4,-8.8,42.5,-10.2,Lower Eocene,mixed-layer foraminifera,Mg/Ca,26.6,4,4,Evans et al. 2018 calculated from data in Bornemann et al. 2014,Marine,Late Paleocene-Early Eocene,Early Eocene
"Paris Basin, France",49.4,3.5,44.4,1.1,Lower Eocene,mixed-layer foraminifera,Clumped isotope thermometry,18.5,2.8,2.7,Evans et al. 2018,Marine,Late Paleocene-Early Eocene,Early Eocene
"GSB Kester Borehole, Belgium",50.8,4.1,45.8,1.6,Lower Eocene,mixed-layer foraminifera,Clumped isotope thermometry,20,2.5,2.4,Evans et al. 2018,Marine,Late Paleocene-Early Eocene,Early Eocene
"Ronse, Belgium",51,4,46,2,Lower Eocene,Fish otoliths,?18O,24,0.4,0.4,"Vanhove et al., 2011",Marine,Late Paleocene-Early Eocene,Early Eocene
"Ampe Quarry, Belgium",51,3.2,46,0.8,Lower Eocene,mixed-layer foraminifera,Clumped isotope thermometry,29.8,3.7,3.5,Evans et al. 2018,Marine,Late Paleocene-Early Eocene,Early Eocene
"Egem, Belgium",51,3,47,0.3,Lower Eocene,Fish otoliths,?18O,22.3,0.3,0.3,"Vanhove et al., 2011",Marine,Late Paleocene-Early Eocene,Early Eocene
"Schepdaal, Belgium",51,4,47,1,Lower Eocene,Fish otoliths,?18O,27.1,1.3,1.3,"Vanhove et al., 2011",Marine,Late Paleocene-Early Eocene,Early Eocene
"Scherpenberg, Belgium",51,4,47,1,Lower Eocene,Fish otoliths,?18O,22.3,0.6,0.6,"Vanhove et al., 2011",Marine,Late Paleocene-Early Eocene,Early Eocene
"Siberean Seaway, Kazakhstan",53.3,73.3,51.3,64.9,Lower Eocene,GDGTs,TEX86,21.9,3.2,3.5,"Frieling et al., 2014; Naafs et al., 2018",Marine,Late Paleocene-Early Eocene,Early Eocene
"West Siberia Sea, Russia",53.5,73.5,52,65,Lower Ypresian,GDGTs,TEX86,24,0.6,0.6,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"ACEX (302-4A), Arctic ocean",87.9,136.2,81,43,Lower Ypresian,GDGTs,TEX86,20,0.6,0.6,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"Lowana Road fossil site Tasmania, Australia",-42.2,145.3,-63.9,153.2,Lower Eocene,Plant fossil,Coexistence Approach,23.7,3.3,3.3,"Carpenter et al., 2012; Naafs et al., 2018",Terrestrial,Late Paleocene-Early Eocene,Early Eocene
"IODP Site 1172, Tasman ocean",-43.6,149.6,-63.9,161,Lower Eocene,GDGTs,MBT/CBT,21.4,5.1,5.1,"Bijl et al., 2013; Naafs et al., 2018",Terrestrial,Late Paleocene-Early Eocene,Early Eocene
"Wilkesland, Indian ocean",-63.2,135.6,-63.6,132.1,Lower Eocene,Plant fossil,Coexistence Approach,18.6,4.5,4.5,"Pross et al., 2012; Naafs et al., 2018",Terrestrial,Late Paleocene-Early Eocene,Early Eocene
"Wilkesland IODP Site U1356, Indian ocean",-63.2,135.6,-63.6,132.1,Lower Eocene,GDGTs,MBT/CBT,20.1,5.2,5.2,"Bijl et al., 2013; Naafs et al., 2018",Terrestrial,Late Paleocene-Early Eocene,Early Eocene
"Otaio, New Zealand",-45,171,-55,-162,Lower Eocene directly after PETM,Lignite GDGTS,MBT‘5me,27.9,4.8,4.8,"Naafs et al., 2018",Terrestrial,Late Paleocene-Early Eocene,Early Eocene
"Otaio section, Canterbury, New Zealand",-45,171,-55,-162,Lower Eocene,Plant fossil,CLAMP/Leaf margin analysis,20.8,3.4,3.4,"Pancost et al., 2013/Wing and Greenwood, 1993",Terrestrial,Late Paleocene-Early Eocene,Early Eocene
